Table 1
die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
3 5/16 X 8 - REMIT,25 x 38,6,# 230-2,9 3/4 X 9 13/16,3 1/4
3 5/16 X 8 - REMIT,28 x 40,6,# 230-2,9 3/4 X 9 13/16,3 1/4
,,,,,
,,,,,
3 3/8 X 4 1/2  BK,6 3/8 X 8 1/16,1,# 131,6 X 7 11/16,1 1/8
3 3/8 X 4 1/2  BK,11 x 17 ,2,# 131,6 X 7 11/16,1 1/8
3 3/8 X 4 1/2  BK,17 1/2 x 22 1/2,6,# 131,6 X 7 11/16,1 1/8
3 3/8 X 4 1/2  BK,19 x 25,9,# 131,6 X 7 11/16,1 1/8
3 3/8 X 4 1/2  BK,23 x 29,9,# 131,6 X 7 11/16,1 1/8
3 3/8 X 4 1/2  BK,23 x 35,12,# 131,6 X 7 11/16,1 1/8
3 3/8 X 4 1/2  BK,25 x 38,16,# 131,6 X 7 11/16,1 1/8
3 3/8 X 4 1/2  BK,28 x 40,20,# 131,6 X 7 11/16,1 1/8
,,,,,
,,,,,
3 3/8 X 6 7/8  BK,9 1/8 X 8 1/16,1,# 110,8 5/8 X 7 11/16,1 1/4
3 3/8 X 6 7/8  BK,11 x 17 ,2,# 110,8 5/8 X 7 11/16,1 1/4
3 3/8 X 6 7/8  BK,17 1/2 x 22 1/2,4,# 110,8 5/8 X 7 11/16,1 1/4
3 3/8 X 6 7/8  BK,19 x 25,6,# 110,8 5/8 X 7 11/16,1 1/4
3 3/8 X 6 7/8  BK,23 x 29,6,# 110,8 5/8 X 7 11/16,1 1/4
3 3/8 X 6 7/8  BK,23 x 35,8,# 110,8 5/8 X 7 11/16,1 1/4
3 3/8 X 6 7/8  BK,25 x 38,8,# 110,8 5/8 X 7 11/16,1 1/4
3 3/8 X 6 7/8  BK,28 x 40,15,# 110,8 5/8 X 7 11/16,1 1/4
,,,,,
,,,,,
3 3/8 X 7  BK,9 1/2 X 10 1/2,1,# 116,9 X 10,3 5/16
3 3/8 X 7  BK,11 x 17 ,1,# 116,9 X 10,3 5/16
3 3/8 X 7  BK,17 1/2 x 22 1/2,2,# 116,9 X 10,3 5/16
3 3/8 X 7  BK,19 x 25,4,# 116,9 X 10,3 5/16
3 3/8 X 7  BK,23 x 29,4,# 116,9 X 10,3 5/16
3 3/8 X 7  BK,23 x 35,6,# 116,9 X 10,3 5/16
3 3/8 X 7  BK,25 x 38,6,# 116,9 X 10,3 5/16
3 3/8 X 7  BK,28 x 40,9,# 116,9 X 10,3 5/16
,,,,,
,,,,,
3 3/8 X 7 1/16  BK,9 9/16 x 8 1/2,1,# 14,9 1/16 x 7 15/16,1 1/2
3 3/8 X 7 1/16  BK,11 x 17 ,2,# 14,9 1/16 x 7 15/16,1 1/2
3 3/8 X 7 1/16  BK,17 1/2 x 22 1/2,2,# 14,9 1/16 x 7 15/16,1 1/2
3 3/8 X 7 1/16  BK,19 x 25,4,# 14,9 1/16 x 7 15/16,1 1/2
3 3/8 X 7 1/16  BK,23 x 29,6,# 14,9 1/16 x 7 15/16,1 1/2
3 3/8 X 7 1/16  BK,23 x 35,8,# 14,9 1/16 x 7 15/16,1 1/2
