die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
4 1/2 x 10 3/8 OE,17 1/2 X 22 1/2,1,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,19 X 25,1,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,23 X 29,4,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,23 X 35,4,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,25 X 38,4,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,28 X 40,4,# 271,9 1/2 X 13 1/8,2
,,,,,
,,,,,
5 x 11 1/2  OE,11 X 15 1/2,1,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,11 X 17 ,1,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,17 1/2 X 22 1/2,1,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,19 X 25,1,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,23 X 29,2,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,23 X 35,4,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,25 X 38,4,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,28 X 40,4,# 240,10 1/2 X 15,2 1/2
,,,,,
,,,,,
5 x 13 3/4  OE,12 1/4 X 16 1/2,1,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,11 X 17 ,0,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,17 1/2 X 22 1/2,1,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,19 X 25,1,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,23 X 29,2,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,23 X 35,4,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,25 X 38,4,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,28 X 40,4,# 310,10 3/4 X 16,1 1/4
,,,,,
,,,,,
5 1/4 x 10 1/2  OE,12 X 13 3/4,1,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,11 X 17 ,0,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,17 1/2 X 22 1/2,1,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,19 X 25,1,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,23 X 29,2,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,23 X 35,2,# 224,11 1/2 X 13 1/4,1 3/4
