die_size,sheet_size,number_out,die_number,seal_flap_size
3 5/8 X 8 3/4  DIA,25 x 38,9,# 282,1  15/16
3 5/8 X 8 3/4  DIA,28 x 40,11,# 282,1  15/16
,,,,
,,,,
3 5/8 X 9  DIA,11 x 17,1,# 289,1 7/8
3 5/8 X 9  DIA,17 1/2 x 22 1/2,3,# 289,1 7/8
3 5/8 X 9  DIA,19 x 25,4,# 289,1 7/8
3 5/8 X 9  DIA,23 x 29,6,# 289,1 7/8
3 5/8 X 9  DIA,23 x 35,8,# 289,1 7/8
3 5/8 X 9  DIA,25 x 38,8,# 289,1 7/8
3 5/8 X 9  DIA,28 x 40,10,# 289,1 7/8
,,,,
,,,,
3 3/4 X 5 1/8   DIA,11 x 17,2,# 157,1 7/8
3 3/4 X 5 1/8   DIA,17 1/2 x 22 1/2,6,# 157,1 7/8
3 3/4 X 5 1/8   DIA,19 x 25,7,# 157,1 7/8
3 3/4 X 5 1/8   DIA,23 x 29,11,# 157,1 7/8
3 3/4 X 5 1/8   DIA,23 x 35,13,# 157,1 7/8
3 3/4 X 5 1/8   DIA,25 x 38,15,# 157,1 7/8
3 3/4 X 5 1/8   DIA,28 x 40,18,# 157,1 7/8
,,,,
,,,,
3 3/4 X 6 1/16   DIA,11 x 17,2,# 158,1 9/16
3 3/4 X 6 1/16   DIA,17 1/2 x 22 1/2,5,# 158,1 9/16
3 3/4 X 6 1/16   DIA,19 x 25,6,# 158,1 9/16
3 3/4 X 6 1/16   DIA,23 x 29,9,# 158,1 9/16
3 3/4 X 6 1/16   DIA,23 x 35,11,# 158,1 9/16
3 3/4 X 6 1/16   DIA,25 x 38,13,# 158,1 9/16
3 3/4 X 6 1/16   DIA,28 x 40,16,# 158,1 9/16
,,,,
,,,,
3 3/4 X 6 1/4   DIA,11 x 17,2,# 155,1 1/2
3 3/4 X 6 1/4   DIA,17 1/2 x 22 1/2,5,# 155,1 1/2
3 3/4 X 6 1/4   DIA,19 x 25,6,# 155,1 1/2
3 3/4 X 6 1/4   DIA,23 x 29,9,# 155,1 1/2
3 3/4 X 6 1/4   DIA,23 x 35,11,# 155,1 1/2
3 3/4 X 6 1/4   DIA,25 x 38,13,# 155,1 1/2
3 3/4 X 6 1/4   DIA,28 x 40,16,# 155,1 1/2
,,,,
,,,,
3 3/4 X 6 1/2   DIA,11 x 17,2,# 18,1 1/2
3 3/4 X 6 1/2   DIA,17 1/2 x 22 1/2,5,# 18,1 1/2
3 3/4 X 6 1/2   DIA,19 x 25,6,# 18,1 1/2
3 3/4 X 6 1/2   DIA,23 x 29,9,# 18,1 1/2
3 3/4 X 6 1/2   DIA,23 x 35,11,# 18,1 1/2
3 3/4 X 6 1/2   DIA,25 x 38,13,# 18,1 1/2
3 3/4 X 6 1/2   DIA,28 x 40,16,# 18,1 1/2
,,,,
,,,,
#7 - 3 3/4 X 6 3/4   DIA,11 x 17,2,# 107,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,17 1/2 x 22 1/2,5,# 107,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,19 x 25,6,# 107,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,23 x 29,8,# 107,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,23 x 35,10,# 107,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,25 x 38,12,# 107,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,28 x 40,15,# 107,1 5/8
,,,,
,,,,
#7 - 3 3/4 X 6 3/4   DIA,11 x 17,2,# 275,1  11/16
#7 - 3 3/4 X 6 3/4   DIA,17 1/2 x 22 1/2,4,# 275,1  11/16
#7 - 3 3/4 X 6 3/4   DIA,19 x 25,6,# 275,1  11/16
#7 - 3 3/4 X 6 3/4   DIA,23 x 29,8,# 275,1  11/16
#7 - 3 3/4 X 6 3/4   DIA,23 x 35,10,# 275,1  11/16
#7 - 3 3/4 X 6 3/4   DIA,25 x 38,12,# 275,1  11/16
#7 - 3 3/4 X 6 3/4   DIA,28 x 40,15,# 275,1  11/16
,,,,
,,,,
#7 - 3 3/4 X 6 3/4   DIA,11 x 17,2,# 253,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,17 1/2 x 22 1/2,4,# 253,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,19 x 25,6,# 253,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,23 x 29,8,# 253,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,23 x 35,9,# 253,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,25 x 38,12,# 253,1 5/8
#7 - 3 3/4 X 6 3/4   DIA,28 x 40,13,# 253,1 5/8
,,,,
,,,,
3 3/4 X 7   DIA,11 x 17,2,# 170,1 3/4
3 3/4 X 7   DIA,17 1/2 x 22 1/2,4,# 170,1 3/4
3 3/4 X 7   DIA,19 x 25,5,# 170,1 3/4
3 3/4 X 7   DIA,23 x 29,7,# 170,1 3/4
3 3/4 X 7   DIA,23 x 35,9,# 170,1 3/4
3 3/4 X 7   DIA,25 x 38,11,# 170,1 3/4
3 3/4 X 7   DIA,28 x 40,13,# 170,1 3/4
,,,,
,,,,
3 3/4 X 7 1/8   DIA,11 x 17,2,# 2,1 3/8
3 3/4 X 7 1/8   DIA,17 1/2 x 22 1/2,4,# 2,1 3/8
3 3/4 X 7 1/8   DIA,19 x 25,5,# 2,1 3/8
3 3/4 X 7 1/8   DIA,23 x 29,7,# 2,1 3/8
3 3/4 X 7 1/8   DIA,23 x 35,9,# 2,1 3/8
3 3/4 X 7 1/8   DIA,25 x 38,11,# 2,1 3/8
3 3/4 X 7 1/8   DIA,28 x 40,13,# 2,1 3/8
,,,,
,,,,
3 3/4 X 7 1/4   DIA,11 x 17,2,# 164,1 5/8
3 3/4 X 7 1/4   DIA,17 1/2 x 22 1/2,4,# 164,1 5/8
3 3/4 X 7 1/4   DIA,19 x 25,5,# 164,1 5/8
3 3/4 X 7 1/4   DIA,23 x 29,7,# 164,1 5/8
3 3/4 X 7 1/4   DIA,23 x 35,9,# 164,1 5/8
3 3/4 X 7 1/4   DIA,25 x 38,11,# 164,1 5/8
3 3/4 X 7 1/4   DIA,28 x 40,13,# 164,1 5/8
,,,,
,,,,
3 3/4 X 7 3/8   DIA,11 x 17,2,# 38,1 7/8
3 3/4 X 7 3/8   DIA,17 1/2 x 22 1/2,4,# 38,1 7/8
3 3/4 X 7 3/8   DIA,19 x 25,5,# 38,1 7/8
3 3/4 X 7 3/8   DIA,23 x 29,7,# 38,1 7/8
3 3/4 X 7 3/8   DIA,23 x 35,9,# 38,1 7/8
3 3/4 X 7 3/8   DIA,25 x 38,10,# 38,1 7/8
3 3/4 X 7 3/8   DIA,28 x 40,12,# 38,1 7/8
,,,,
,,,,
3 3/4 X 7 1/2   DIA,11 x 17,2,# 269,1 3/4
3 3/4 X 7 1/2   DIA,17 1/2 x 22 1/2,4,# 269,1 3/4
3 3/4 X 7 1/2   DIA,19 x 25,5,# 269,1 3/4
3 3/4 X 7 1/2   DIA,23 x 29,7,# 269,1 3/4
3 3/4 X 7 1/2   DIA,23 x 35,9,# 269,1 3/4
3 3/4 X 7 1/2   DIA,25 x 38,10,# 269,1 3/4
3 3/4 X 7 1/2   DIA,28 x 40,12,# 269,1 3/4
,,,,
,,,,
3 3/4 X 7 5/8   DIA,11 x 17,2,# 256,1 13/16
3 3/4 X 7 5/8   DIA,17 1/2 x 22 1/2,4,# 256,1 13/16
3 3/4 X 7 5/8   DIA,19 x 25,5,# 256,1 13/16
3 3/4 X 7 5/8   DIA,23 x 29,7,# 256,1 13/16
3 3/4 X 7 5/8   DIA,23 x 35,9,# 256,1 13/16
3 3/4 X 7 5/8   DIA,25 x 38,10,# 256,1 13/16
3 3/4 X 7 5/8   DIA,28 x 40,12,# 256,1 13/16
,,,,
,,,,
3 3/4 X 7 3/4   DIA,11 x 17,2,# 278,1 7/8
3 3/4 X 7 3/4   DIA,17 1/2 x 22 1/2,4,# 278,1 7/8
3 3/4 X 7 3/4   DIA,19 x 25,4,# 278,1 7/8
3 3/4 X 7 3/4   DIA,23 x 29,7,# 278,1 7/8
3 3/4 X 7 3/4   DIA,23 x 35,8,# 278,1 7/8
3 3/4 X 7 3/4   DIA,25 x 38,9,# 278,1 7/8
3 3/4 X 7 3/4   DIA,28 x 40,12,# 278,1 7/8
,,,,
,,,,
3 3/4 X 8   DIA,11 x 17,2,# 186,1 5/8
3 3/4 X 8   DIA,17 1/2 x 22 1/2,4,# 186,1 5/8
3 3/4 X 8   DIA,19 x 25,4,# 186,1 5/8
3 3/4 X 8   DIA,23 x 29,7,# 186,1 5/8
3 3/4 X 8   DIA,23 x 35,8,# 186,1 5/8
3 3/4 X 8   DIA,25 x 38,9,# 186,1 5/8
3 3/4 X 8   DIA,28 x 40,12,# 186,1 5/8
,,,,
,,,,
3 3/4 X 8 1/8   DIA,11 x 17,2,# 254,1  11/16
3 3/4 X 8 1/8   DIA,17 1/2 x 22 1/2,4,# 254,1  11/16
3 3/4 X 8 1/8   DIA,19 x 25,4,# 254,1  11/16
3 3/4 X 8 1/8   DIA,23 x 29,6,# 254,1  11/16
3 3/4 X 8 1/8   DIA,23 x 35,8,# 254,1  11/16
3 3/4 X 8 1/8   DIA,25 x 38,9,# 254,1  11/16
3 3/4 X 8 1/8   DIA,28 x 40,12,# 254,1  11/16
,,,,
,,,,
3 7/8 X 6 7/8   DIA,11 x 17,2,# 344,2 1/4
3 7/8 X 6 7/8   DIA,17 1/2 x 22 1/2,4,# 344,2 1/4
3 7/8 X 6 7/8   DIA,19 x 25,4,# 344,2 1/4
3 7/8 X 6 7/8   DIA,23 x 29,6,# 344,2 1/4
3 7/8 X 6 7/8   DIA,23 x 35,8,# 344,2 1/4
3 7/8 X 6 7/8   DIA,25 x 38,9,# 344,2 1/4
3 7/8 X 6 7/8   DIA,28 x 40,12,# 344,2 1/4
,,,,
,,,,
3 7/8 X 7   DIA,11 x 17,2,# 4,1 5/8
3 7/8 X 7   DIA,17 1/2 x 22 1/2,4,# 4,1 5/8
3 7/8 X 7   DIA,19 x 25,5,# 4,1 5/8
3 7/8 X 7   DIA,23 x 29,7,# 4,1 5/8
3 7/8 X 7   DIA,23 x 35,9,# 4,1 5/8
3 7/8 X 7   DIA,25 x 38,11,# 4,1 5/8
3 7/8 X 7   DIA,28 x 40,13,# 4,1 5/8
,,,,
,,,,
3 7/8 X 7 1/8   DIA,11 x 17,2,# 6,1 1/2
3 7/8 X 7 1/8   DIA,17 1/2 x 22 1/2,4,# 6,1 1/2
3 7/8 X 7 1/8   DIA,19 x 25,5,# 6,1 1/2
3 7/8 X 7 1/8   DIA,23 x 29,7,# 6,1 1/2
3 7/8 X 7 1/8   DIA,23 x 35,9,# 6,1 1/2
3 7/8 X 7 1/8   DIA,25 x 38,11,# 6,1 1/2
3 7/8 X 7 1/8   DIA,28 x 40,13,# 6,1 1/2
,,,,
,,,,
#7 3/4  -  3 7/8 X 7 1/2   DIA,11 x 17,2,# 7,1  11/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,17 1/2 x 22 1/2,4,# 7,1  11/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,19 x 25,4,# 7,1  11/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,23 x 29,5,# 7,1  11/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,23 x 35,8,# 7,1  11/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,25 x 38,9,# 7,1  11/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,28 x 40,11,# 7,1  11/16
,,,,
,,,,
#7 3/4  -  3 7/8 X 7 1/2   DIA,11 x 17,2,# 345,1 7/8
#7 3/4  -  3 7/8 X 7 1/2   DIA,17 1/2 x 22 1/2,4,# 345,1 7/8
#7 3/4  -  3 7/8 X 7 1/2   DIA,19 x 25,4,# 345,1 7/8
#7 3/4  -  3 7/8 X 7 1/2   DIA,23 x 29,4,# 345,1 7/8
#7 3/4  -  3 7/8 X 7 1/2   DIA,23 x 35,8,# 345,1 7/8
#7 3/4  -  3 7/8 X 7 1/2   DIA,25 x 38,9,# 345,1 7/8
#7 3/4  -  3 7/8 X 7 1/2   DIA,28 x 40,11,# 345,1 7/8
,,,,
,,,,
#7 3/4  -  3 7/8 X 7 1/2   DIA,11 x 17,2,# 169,2 1/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,17 1/2 x 22 1/2,4,# 169,2 1/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,19 x 25,4,# 169,2 1/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,23 x 29,4,# 169,2 1/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,23 x 35,8,# 169,2 1/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,25 x 38,9,# 169,2 1/16
#7 3/4  -  3 7/8 X 7 1/2   DIA,28 x 40,11,# 169,2 1/16
,,,,
,,,,
#7 3/4  -  3 7/8 X 7 1/2   DIA,11 x 17,2,# 266,1 3/4
#7 3/4  -  3 7/8 X 7 1/2   DIA,17 1/2 x 22 1/2,4,# 266,1 3/4
#7 3/4  -  3 7/8 X 7 1/2   DIA,19 x 25,5,# 266,1 3/4
#7 3/4  -  3 7/8 X 7 1/2   DIA,23 x 29,6,# 266,1 3/4
#7 3/4  -  3 7/8 X 7 1/2   DIA,23 x 35,8,# 266,1 3/4
#7 3/4  -  3 7/8 X 7 1/2   DIA,25 x 38,9,# 266,1 3/4
#7 3/4  -  3 7/8 X 7 1/2   DIA,28 x 40,11,# 266,1 3/4
,,,,
,,,,
#7 3/4  -  3 7/8 X 7 1/2   Mon,11 x 17,1,# 6,2 3/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,17 1/2 x 22 1/2,4,# 6,2 3/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,19 x 25,4,# 6,2 3/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,23 x 29,5,# 6,2 3/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,23 x 35,8,# 6,2 3/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,25 x 38,9,# 6,2 3/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,28 x 40,10,# 6,2 3/16
,,,,
,,,,
#7 3/4  -  3 7/8 X 7 1/2   Mon,11 x 17,1,# 257,2  13/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,17 1/2 x 22 1/2,4,# 257,2  13/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,19 x 25,4,# 257,2  13/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,23 x 29,5,# 257,2  13/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,23 x 35,8,# 257,2  13/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,25 x 38,9,# 257,2  13/16
#7 3/4  -  3 7/8 X 7 1/2   Mon,28 x 40,10,# 257,2  13/16
,,,,
,,,,
3 7/8 X 7 3/4   DIA,11 x 17,2,# 8,1 1/2
3 7/8 X 7 3/4   DIA,17 1/2 x 22 1/2,4,# 8,1 1/2
3 7/8 X 7 3/4   DIA,19 x 25,5,# 8,1 1/2
3 7/8 X 7 3/4   DIA,23 x 29,7,# 8,1 1/2
3 7/8 X 7 3/4   DIA,23 x 35,9,# 8,1 1/2
3 7/8 X 7 3/4   DIA,25 x 38,10,# 8,1 1/2
3 7/8 X 7 3/4   DIA,28 x 40,13,# 8,1 1/2
,,,,
,,,,
3 7/8 X 7 7/8   DIA,11 x 17,2,# 180,1 9/16
3 7/8 X 7 7/8   DIA,17 1/2 x 22 1/2,4,# 180,1 9/16
3 7/8 X 7 7/8   DIA,19 x 25,4,# 180,1 9/16
3 7/8 X 7 7/8   DIA,23 x 29,7,# 180,1 9/16
3 7/8 X 7 7/8   DIA,23 x 35,8,# 180,1 9/16
3 7/8 X 7 7/8   DIA,25 x 38,10,# 180,1 9/16
3 7/8 X 7 7/8   DIA,28 x 40,12,# 180,1 9/16
,,,,
,,,,
3 7/8 X 7 7/8   DIA,11 x 17,2,# 290,1 5/8
3 7/8 X 7 7/8   DIA,17 1/2 x 22 1/2,4,# 290,1 5/8
3 7/8 X 7 7/8   DIA,19 x 25,4,# 290,1 5/8
3 7/8 X 7 7/8   DIA,23 x 29,7,# 290,1 5/8
3 7/8 X 7 7/8   DIA,23 x 35,8,# 290,1 5/8
3 7/8 X 7 7/8   DIA,25 x 38,10,# 290,1 5/8
3 7/8 X 7 7/8   DIA,28 x 40,12,# 290,1 5/8
,,,,
,,,,
3 7/8 X 7 7/8   DIA,11 x 17,2,# 36,1 3/4
3 7/8 X 7 7/8   DIA,17 1/2 x 22 1/2,4,# 36,1 3/4
3 7/8 X 7 7/8   DIA,19 x 25,4,# 36,1 3/4
3 7/8 X 7 7/8   DIA,23 x 29,7,# 36,1 3/4
3 7/8 X 7 7/8   DIA,23 x 35,8,# 36,1 3/4
3 7/8 X 7 7/8   DIA,25 x 38,10,# 36,1 3/4
3 7/8 X 7 7/8   DIA,28 x 40,12,# 36,1 3/4
,,,,
,,,,
3 7/8 X 8   DIA,11 x 17,2,# 176,1 1/2
3 7/8 X 8   DIA,17 1/2 x 22 1/2,4,# 176,1 1/2
3 7/8 X 8   DIA,19 x 25,4,# 176,1 1/2
3 7/8 X 8   DIA,23 x 29,7,# 176,1 1/2
3 7/8 X 8   DIA,23 x 35,8,# 176,1 1/2
3 7/8 X 8   DIA,25 x 38,9,# 176,1 1/2
3 7/8 X 8   DIA,28 x 40,11,# 176,1 1/2
,,,,
,,,,
3 7/8 X 8   DIA,11 x 17,2,# 270,1  11/16
3 7/8 X 8   DIA,17 1/2 x 22 1/2,4,# 270,1  11/16
3 7/8 X 8   DIA,19 x 25,4,# 270,1  11/16
3 7/8 X 8   DIA,23 x 29,6,# 270,1  11/16
3 7/8 X 8   DIA,23 x 35,8,# 270,1  11/16
3 7/8 X 8   DIA,25 x 38,9,# 270,1  11/16
3 7/8 X 8   DIA,28 x 40,11,# 270,1  11/16
,,,,
,,,,
3 7/8 X 8 5/8   DIA,11 x 17,1,# 15,1 5/8
3 7/8 X 8 5/8   DIA,17 1/2 x 22 1/2,4,# 15,1 5/8
3 7/8 X 8 5/8   DIA,19 x 25,4,# 15,1 5/8
3 7/8 X 8 5/8   DIA,23 x 29,5,# 15,1 5/8
3 7/8 X 8 5/8   DIA,23 x 35,8,# 15,1 5/8
3 7/8 X 8 5/8   DIA,25 x 38,9,# 15,1 5/8
3 7/8 X 8 5/8   DIA,28 x 40,11,# 15,1 5/8
,,,,
,,,,
3 7/8 X 8 3/4   DIA,11 x 17,1,# 185,1 3/4
3 7/8 X 8 3/4   DIA,17 1/2 x 22 1/2,4,# 185,1 3/4
3 7/8 X 8 3/4   DIA,19 x 25,4,# 185,1 3/4
3 7/8 X 8 3/4   DIA,23 x 29,5,# 185,1 3/4
3 7/8 X 8 3/4   DIA,23 x 35,8,# 185,1 3/4
3 7/8 X 8 3/4   DIA,25 x 38,9,# 185,1 3/4
3 7/8 X 8 3/4   DIA,28 x 40,10,# 185,1 3/4
,,,,
,,,,
#9  - 3 7/8 X 8 7/8   DIA,11 x 17,1,# 17,1 5/8
#9  - 3 7/8 X 8 7/8   DIA,17 1/2 x 22 1/2,3,# 17,1 5/8
#9  - 3 7/8 X 8 7/8   DIA,19 x 25,4,# 17,1 5/8
#9  - 3 7/8 X 8 7/8   DIA,23 x 29,6,# 17,1 5/8
#9  - 3 7/8 X 8 7/8   DIA,23 x 35,8,# 17,1 5/8
#9  - 3 7/8 X 8 7/8   DIA,25 x 38,9,# 17,1 5/8
#9  - 3 7/8 X 8 7/8   DIA,28 x 40,10,# 17,1 5/8
,,,,
,,,,
#9  - 3 7/8 X 8 7/8   DIA,11 x 17,1,# 175 & 176,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,17 1/2 x 22 1/2,3,# 175 & 176,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,19 x 25,4,# 175 & 176,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,23 x 29,6,# 175 & 176,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,23 x 35,8,# 175 & 176,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,25 x 38,9,# 175 & 176,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,28 x 40,10,# 175 & 176,1 3/4
,,,,
,,,,
#9  - 3 7/8 X 8 7/8   DIA,11 x 17,1,# 177,2 1/4
#9  - 3 7/8 X 8 7/8   DIA,17 1/2 x 22 1/2,3,# 177,2 1/4
#9  - 3 7/8 X 8 7/8   DIA,19 x 25,4,# 177,2 1/4
#9  - 3 7/8 X 8 7/8   DIA,23 x 29,6,# 177,2 1/4
#9  - 3 7/8 X 8 7/8   DIA,23 x 35,7,# 177,2 1/4
#9  - 3 7/8 X 8 7/8   DIA,25 x 38,8,# 177,2 1/4
#9  - 3 7/8 X 8 7/8   DIA,28 x 40,9,# 177,2 1/4
,,,,
,,,,
#9  - 3 7/8 X 8 7/8   DIA,11 x 17,1,# 178,2 3/8
#9  - 3 7/8 X 8 7/8   DIA,17 1/2 x 22 1/2,3,# 178,2 3/8
#9  - 3 7/8 X 8 7/8   DIA,19 x 25,4,# 178,2 3/8
#9  - 3 7/8 X 8 7/8   DIA,23 x 29,6,# 178,2 3/8
#9  - 3 7/8 X 8 7/8   DIA,23 x 35,7,# 178,2 3/8
#9  - 3 7/8 X 8 7/8   DIA,25 x 38,8,# 178,2 3/8
#9  - 3 7/8 X 8 7/8   DIA,28 x 40,9,# 178,2 3/8
,,,,
,,,,
#9  - 3 7/8 X 8 7/8   DIA,11 x 17,1,# 182,1 7/16
#9  - 3 7/8 X 8 7/8   DIA,17 1/2 x 22 1/2,3,# 182,1 7/16
#9  - 3 7/8 X 8 7/8   DIA,19 x 25,4,# 182,1 7/16
#9  - 3 7/8 X 8 7/8   DIA,23 x 29,6,# 182,1 7/16
#9  - 3 7/8 X 8 7/8   DIA,23 x 35,7,# 182,1 7/16
#9  - 3 7/8 X 8 7/8   DIA,25 x 38,8,# 182,1 7/16
#9  - 3 7/8 X 8 7/8   DIA,28 x 40,9,# 182,1 7/16
,,,,
,,,,
#9  - 3 7/8 X 8 7/8   DIA,11 x 17,1,# 16,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,17 1/2 x 22 1/2,3,# 16,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,19 x 25,4,# 16,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,23 x 29,6,# 16,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,23 x 35,7,# 16,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,25 x 38,8,# 16,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,28 x 40,9,# 16,1 3/4
,,,,
,,,,
#9  - 3 7/8 X 8 7/8   DIA,11 x 17,1,# 293,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,17 1/2 x 22 1/2,3,# 293,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,19 x 25,4,# 293,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,23 x 29,6,# 293,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,23 x 35,7,# 293,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,25 x 38,8,# 293,1 3/4
#9  - 3 7/8 X 8 7/8   DIA,28 x 40,9,# 293,1 3/4
,,,,
,,,,
#9  - 3 7/8 X 8 7/8   DIA,11 x 17,1,# 292,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,17 1/2 x 22 1/2,3,# 292,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,19 x 25,4,# 292,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,23 x 29,6,# 292,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,23 x 35,7,# 292,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,25 x 38,8,# 292,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,28 x 40,9,# 292,1  13/16
,,,,
,,,,
#9  - 3 7/8 X 8 7/8   DIA,11 x 17,1,# 291,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,17 1/2 x 22 1/2,3,# 291,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,19 x 25,4,# 291,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,23 x 29,5,# 291,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,23 x 35,7,# 291,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,25 x 38,8,# 291,1  13/16
#9  - 3 7/8 X 8 7/8   DIA,28 x 40,9,# 291,1  13/16
,,,,
,,,,
#9 1/2 - 3 7/8 X 9 1/8  DIA,11 x 17,1,# 24,1 3/4
#9 1/2 - 3 7/8 X 9 1/8  DIA,17 1/2 x 22 1/2,3,# 24,1 3/4
#9 1/2 - 3 7/8 X 9 1/8  DIA,19 x 25,4,# 24,1 3/4
#9 1/2 - 3 7/8 X 9 1/8  DIA,23 x 29,5,# 24,1 3/4
#9 1/2 - 3 7/8 X 9 1/8  DIA,23 x 35,7,# 24,1 3/4
#9 1/2 - 3 7/8 X 9 1/8  DIA,25 x 38,8,# 24,1 3/4
#9 1/2 - 3 7/8 X 9 1/8  DIA,28 x 40,9,# 24,1 3/4
,,,,
,,,,
#9 1/2 - 3 7/8 X 9 1/8  DIA,11 x 17,1,# 183,2 1/8
#9 1/2 - 3 7/8 X 9 1/8  DIA,17 1/2 x 22 1/2,3,# 183,2 1/8
#9 1/2 - 3 7/8 X 9 1/8  DIA,19 x 25,4,# 183,2 1/8
#9 1/2 - 3 7/8 X 9 1/8  DIA,23 x 29,5,# 183,2 1/8
#9 1/2 - 3 7/8 X 9 1/8  DIA,23 x 35,7,# 183,2 1/8
#9 1/2 - 3 7/8 X 9 1/8  DIA,25 x 38,8,# 183,2 1/8
#9 1/2 - 3 7/8 X 9 1/8  DIA,28 x 40,9,# 183,2 1/8
,,,,
,,,,
3 7/8 X 9 1/4   DIA,11 x 17,1,# 187,1  13/16
3 7/8 X 9 1/4   DIA,17 1/2 x 22 1/2,3,# 187,1  13/16
3 7/8 X 9 1/4   DIA,19 x 25,4,# 187,1  13/16
3 7/8 X 9 1/4   DIA,23 x 29,5,# 187,1  13/16
3 7/8 X 9 1/4   DIA,23 x 35,7,# 187,1  13/16
3 7/8 X 9 1/4   DIA,25 x 38,8,# 187,1  13/16
3 7/8 X 9 1/4   DIA,28 x 40,9,# 187,1  13/16
,,,,
,,,,
3 7/8 X 9 1/2  DIA,11 x 17,1,# 14,1 3/4
3 7/8 X 9 1/2  DIA,17 1/2 x 22 1/2,3,# 14,1 3/4
3 7/8 X 9 1/2  DIA,19 x 25,4,# 14,1 3/4
3 7/8 X 9 1/2  DIA,23 x 29,5,# 14,1 3/4
3 7/8 X 9 1/2  DIA,23 x 35,7,# 14,1 3/4
3 7/8 X 9 1/2  DIA,25 x 38,8,# 14,1 3/4
3 7/8 X 9 1/2  DIA,28 x 40,9,# 14,1 3/4
,,,,
,,,,
3 29/32 x 5 3/16   DIA,11 x 17,2,# 163,2 5/16
3 29/32 x 5 3/16   DIA,17 1/2 x 22 1/2,6,# 163,2 5/16
3 29/32 x 5 3/16   DIA,19 x 25,6,# 163,2 5/16
3 29/32 x 5 3/16   DIA,23 x 29,6,# 163,2 5/16
3 29/32 x 5 3/16   DIA,23 x 35,12,# 163,2 5/16
3 29/32 x 5 3/16   DIA,25 x 38,15,# 163,2 5/16
3 29/32 x 5 3/16   DIA,28 x 40,15,# 163,2 5/16
,,,,
,,,,
3 15/16 x 5 1/8   DIA,11 x 17,2,# 188,2 1/4
3 15/16 x 5 1/8   DIA,17 1/2 x 22 1/2,6,# 188,2 1/4
3 15/16 x 5 1/8   DIA,19 x 25,6,# 188,2 1/4
