die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
6 1/2 x 9 1/2  BK,19 X 25,1,# 130,11 1/4 X 13 7/8,1 3/8
6 1/2 x 9 1/2  BK,23 X 29,2,# 130,11 1/4 X 13 7/8,1 3/8
6 1/2 x 9 1/2  BK,23 X 35,4,# 130,11 1/4 X 13 7/8,1 3/8
6 1/2 x 9 1/2  BK,25 X 38,4,# 130,11 1/4 X 13 7/8,1 3/8
6 1/2 x 9 1/2  BK,28 X 40,4,# 130,11 1/4 X 13 7/8,1 3/8
,,,,,
,,,,,
6 1/2 x 9 1/2  BK,12 X 15,1,# 84,11 1/2 X 14 1/2,2 1/2
6 1/2 x 9 1/2  BK,11 X 17 ,0,# 84,11 1/2 X 14 1/2,2 1/2
6 1/2 x 9 1/2  BK,17 1/2 X 22 1/2,1,# 84,11 1/2 X 14 1/2,2 1/2
6 1/2 x 9 1/2  BK,19 X 25,1,# 84,11 1/2 X 14 1/2,2 1/2
6 1/2 x 9 1/2  BK,23 X 29,1,# 84,11 1/2 X 14 1/2,2 1/2
6 1/2 x 9 1/2  BK,23 X 35,2,# 84,11 1/2 X 14 1/2,2 1/2
6 1/2 x 9 1/2  BK,25 X 38,4,# 84,11 1/2 X 14 1/2,2 1/2
6 1/2 x 9 1/2  BK,28 X 40,4,# 84,11 1/2 X 14 1/2,2 1/2
,,,,,
,,,,,
6 1/2 x 10  BK,12 1/4 X 14 3/8,1,# 174 - UT,11 3/4 X 13 7/8,1 3/8
6 1/2 x 10  BK,11 X 17 ,0,# 174 - UT,11 3/4 X 13 7/8,1 3/8
6 1/2 x 10  BK,17 1/2 X 22 1/2,1,# 174 - UT,11 3/4 X 13 7/8,1 3/8
6 1/2 x 10  BK,19 X 25,1,# 174 - UT,11 3/4 X 13 7/8,1 3/8
6 1/2 x 10  BK,23 X 29,2,# 174 - UT,11 3/4 X 13 7/8,1 3/8
6 1/2 x 10  BK,23 X 35,2,# 174 - UT,11 3/4 X 13 7/8,1 3/8
6 1/2 x 10  BK,25 X 38,4,# 174 - UT,11 3/4 X 13 7/8,1 3/8
6 1/2 x 10  BK,28 X 40,4,# 174 - UT,11 3/4 X 13 7/8,1 3/8
,,,,,
,,,,,
6 1/2 x 12  BK,14 1/2 X 14 7/8,1,# 95 ,14 X 14 3/8,1 5/8
6 1/2 x 12  BK,11 X 17 ,0,# 95 ,14 X 14 3/8,1 5/8
6 1/2 x 12  BK,17 1/2 X 22 1/2,1,# 95 ,14 X 14 3/8,1 5/8
6 1/2 x 12  BK,19 X 25,1,# 95 ,14 X 14 3/8,1 5/8
6 1/2 x 12  BK,23 X 29,1,# 95 ,14 X 14 3/8,1 5/8
6 1/2 x 12  BK,23 X 35,2,# 95 ,14 X 14 3/8,1 5/8
6 1/2 x 12  BK,25 X 38,2,# 95 ,14 X 14 3/8,1 5/8
6 1/2 x 12  BK,28 X 40,4,# 95 ,14 X 14 3/8,1 5/8
,,,,,
,,,,,
6 5/8 x 9 5/8  BK,12 5/16 X 14 1/2,1,# 138 ,11 3/16 X 14,1 1/8
6 5/8 x 9 5/8  BK,11 X 17 ,0,# 138 ,11 3/16 X 14,1 1/8
6 5/8 x 9 5/8  BK,17 1/2 X 22 1/2,1,# 138 ,11 3/16 X 14,1 1/8
6 5/8 x 9 5/8  BK,19 X 25,1,# 138 ,11 3/16 X 14,1 1/8
6 5/8 x 9 5/8  BK,23 X 29,2,# 138 ,11 3/16 X 14,1 1/8
6 5/8 x 9 5/8  BK,23 X 35,2,# 138 ,11 3/16 X 14,1 1/8
6 5/8 x 9 5/8  BK,25 X 38,4,# 138 ,11 3/16 X 14,1 1/8
6 5/8 x 9 5/8  BK,28 X 40,4,# 138 ,11 3/16 X 14,1 1/8
,,,,,
,,,,,
6 3/4 x 8 3/4  BK,11 1/4 X 15 1/16,1,# 216,10 3/4 X 14 9/16,2 1/4
6 3/4 x 8 3/4  BK,11 X 17 ,0,# 216,10 3/4 X 14 9/16,2 1/4
6 3/4 x 8 3/4  BK,17 1/2 X 22 1/2,1,# 216,10 3/4 X 14 9/16,2 1/4
6 3/4 x 8 3/4  BK,19 X 25,1,# 216,10 3/4 X 14 9/16,2 1/4
6 3/4 x 8 3/4  BK,23 X 29,2,# 216,10 3/4 X 14 9/16,2 1/4
6 3/4 x 8 3/4  BK,23 X 35,4,# 216,10 3/4 X 14 9/16,2 1/4
